"external_gene_name","ensembl_gene_id","gene_biotype","entrezgene_id","chromosome_name","Bait"
"PLEKHA5","ENSG00000052126","protein_coding",54477,"12","SARS-CoV2 nsp12"
"PLEKHF2","ENSG00000175895","protein_coding",79666,"8","SARS-CoV2 orf8"
"PLOD2","ENSG00000152952","protein_coding",5352,"3","SARS-CoV2 orf8"
"PMPCA","ENSG00000165688","protein_coding",23203,"9","SARS-CoV2 M"
"PMPCB","ENSG00000105819","protein_coding",9512,"7","SARS-CoV2 M"
"POFUT1","ENSG00000101346","protein_coding",23509,"20","SARS-CoV2 orf8"
"POGLUT2","ENSG00000134901","protein_coding",79070,"13","SARS-CoV2 orf8"
"POGLUT3","ENSG00000178202","protein_coding",143888,"11","SARS-CoV2 orf8"
"POLA1","ENSG00000101868","protein_coding",5422,"X","SARS-CoV2 nsp1"
"POLA2","ENSG00000014138","protein_coding",23649,"11","SARS-CoV2 nsp1"
"POR","ENSG00000127948","protein_coding",5447,"7","SARS-CoV2 nsp2"
"PPIL3","ENSG00000240344","protein_coding",53938,"2","SARS-CoV2 nsp12"
"PPT1","ENSG00000131238","protein_coding",5538,"1","SARS-CoV2 orf10"
"PRIM1","ENSG00000198056","protein_coding",5557,"12","SARS-CoV2 nsp1"
"PRIM2","ENSG00000146143","protein_coding",5558,"6","SARS-CoV2 nsp1"
"PRKACA","ENSG00000072062","protein_coding",5566,"19","SARS-CoV2 nsp13"
"PRKAR2A","ENSG00000114302","protein_coding",5576,"3","SARS-CoV2 nsp13"
"PRKAR2B","ENSG00000005249","protein_coding",5577,"7","SARS-CoV2 nsp13"
"PRRC2B","ENSG00000130723","protein_coding",84726,"9","SARS-CoV2 nsp12"
"PSMD8","ENSG00000099341","protein_coding",5714,"19","SARS-CoV2 M"
"PTBP2","ENSG00000117569","protein_coding",58155,"1","SARS-CoV2 orf9b"
"PTGES2","ENSG00000148334","protein_coding",80142,"9","SARS-CoV2 nsp7"
